,0
785,2.35
786,3.61
787,8.3
788,1.6
789,2.0
790,0.01
791,0.0
792,0.08
793,0.02
794,0.04
795,0.25
796,1.15
797,7.1
798,4.05
799,6.51
800,4.44
801,0.07
802,0.13
803,0.12
804,0.08
805,0.08
806,0.1
807,4.99
808,1.17
809,1.51
810,4.37
811,5.64
812,6.09
813,0.07
814,0.0
815,0.15
816,0.39
817,0.09
818,0.04
819,0.35
820,8.49
821,1.89
822,2.53
823,5.02
824,2.59
825,0.45
826,0.01
827,0.02
828,0.14
829,1.26
830,0.94
831,0.01
832,1.02
833,1.57
834,3.97
835,10.38
836,1.7
837,0.46
838,0.01
839,0.02
840,0.14
